"source","target","weight"
679,1,1
1165,1,1
664,2,1
1066,2,1
168,3,1
255,3,1
373,3,1
579,3,1
1135,3,1
1136,3,1
876,4,1
1321,6,1
630,7,1
1046,7,1
1347,7,1
342,8,1
785,8,1
829,8,1
953,8,1
970,8,1
312,9,1
961,9,1
78,10,1
401,10,1
1190,10,1
4,11,1
267,11,1
41,13,1
604,13,1
743,13,1
1254,13,1
216,14,1
249,14,1
790,15,1
948,15,1
1139,15,1
1254,15,1
101,16,1
731,16,1
758,16,1
49,17,1
199,17,1
224,17,1
426,17,1
479,17,1
604,17,1
932,17,1
1040,17,1
1152,17,1
1357,17,1
1369,17,1
12,18,1
42,19,1
447,19,1
927,19,1
15,20,1
191,20,1
317,20,1
320,20,1
506,20,1
769,20,1
790,20,1
824,20,1
1254,20,1
39,21,1
149,21,1
539,21,1
1209,21,1
1275,21,1
29,22,1
338,22,1
434,22,1
1311,22,1
152,23,1
277,23,1
586,23,1
674,23,1
1209,23,1
265,24,1
455,24,1
660,24,1
720,24,1
953,24,1
1004,24,1
1119,24,1
47,25,1
99,25,1
332,25,1
384,25,1
476,25,1
611,25,1
628,25,1
846,25,1
877,25,1
935,25,1
1289,25,1
1320,25,1
23,27,1
1152,27,1
1193,27,1
1254,27,1
21,28,1
81,28,1
539,28,1
545,28,1
761,28,1
1095,28,1
475,29,1
719,29,1
1058,29,1
1150,29,1
339,30,1
341,30,1
312,31,1
878,31,1
1225,32,1
1366,32,1
217,33,1
299,33,1
777,33,1
905,33,1
1181,33,1
1204,33,1
1375,33,1
180,34,1
955,34,1
147,35,1
81,36,1
348,36,1
683,36,1
638,37,1
863,37,1
350,38,1
1174,38,1
313,39,1
412,39,1
471,39,1
734,39,1
928,39,1
124,40,1
278,40,1
1026,40,1
13,41,1
487,41,1
706,41,1
1067,41,1
1098,41,1
19,42,1
336,42,1
594,42,1
1310,42,1
853,43,1
1383,43,1
1139,44,1
216,45,1
669,45,1
538,46,1
551,46,1
624,46,1
916,46,1
1094,46,1
682,47,1
828,47,1
935,47,1
1350,47,1
546,48,1
916,48,1
994,48,1
301,49,1
379,49,1
802,49,1
1243,49,1
106,50,1
260,50,1
832,50,1
981,50,1
1083,50,1
779,51,1
1213,51,1
368,52,1
500,52,1
542,52,1
557,52,1
610,52,1
673,52,1
712,52,1
1029,52,1
1182,52,1
1372,52,1
366,53,1
1002,53,1
16,54,1
256,54,1
583,54,1
758,54,1
1096,54,1
1376,54,1
206,55,1
366,56,1
1049,56,1
655,57,1
895,57,1
320,58,1
359,58,1
585,58,1
714,58,1
1043,58,1
1116,58,1
391,59,1
498,59,1
635,59,1
640,59,1
659,59,1
1324,59,1
1352,59,1
73,60,1
189,60,1
196,60,1
537,60,1
744,60,1
755,60,1
826,60,1
905,60,1
