"community","nodes","edges"
1,71,305
2,109,447
3,32,127
4,291,1396
5,159,945
6,111,457
7,457,2158
8,205,1012
9,254,1264
10,685,3441
11,426,1975
12,586,3585
13,689,2936
14,569,3344
15,1089,5370
16,795,4125
17,1246,6488
18,290,1511
19,495,2675
20,922,5229
21,380,2021
22,626,3133
23,679,3783
24,876,3739
25,828,3197
26,563,2624
27,1229,3303
28,1168,5721
29,578,3203
30,746,3442
31,900,2028
32,877,4192
33,2250,5858
34,1681,6985
35,873,3735
36,2209,9880
37,427,879
38,542,2340
39,1008,4883
40,2037,10488
41,2100,10503
42,1512,5622
43,1723,6343
44,1147,6189
45,1047,3231
46,1550,7149
47,998,5410
48,1184,6217
49,1929,8873
50,2587,12969
51,790,1953
52,1799,6774
53,647,1815
54,1107,3713
55,357,1010
56,467,1653
57,1282,4292
58,1778,7021
59,1007,4160
60,1216,4693
61,1898,5402
62,1111,3328
63,100,353
64,710,3545
65,566,2329
66,655,3591
67,530,1080
68,1460,4849
69,904,4562
70,76,440
71,74,466
72,358,1784
73,1650,8557
74,730,2066
75,1011,5459
76,44,250
77,25,145
78,436,1719
79,1235,5374
80,624,2188
81,1383,4689
82,946,5096
83,1338,4524
84,1755,4794
